left_arm_joint1,left_arm_joint2,left_arm_joint3,left_arm_joint4,left_arm_joint5,left_arm_joint6,left_arm_joint7
-0.3311,0.222887,0.175784,-0.516276,0.257756,-0.3513,-0.621103
-0.336713,0.22088,0.175962,-0.519438,0.25885,-0.351692,-0.622417
-0.338629,0.220108,0.175949,-0.520878,0.259517,-0.351934,-0.623091
-0.343272,0.218132,0.175895,-0.524529,0.26125,-0.352716,-0.624872
-0.345184,0.217315,0.175902,-0.525944,0.261894,-0.353116,-0.625589
-0.3504,0.215195,0.176155,-0.529027,0.262991,-0.354429,-0.627497
-0.353575,0.213875,0.176356,-0.530825,0.263604,-0.355343,-0.628675
-0.357167,0.21208,0.176369,-0.533903,0.265151,-0.356531,-0.63006
-0.359223,0.210746,0.176124,-0.536957,0.267109,-0.357272,-0.630911
-0.362431,0.208397,0.175744,-0.54229,0.27089,-0.358513,-0.632202
-0.363463,0.207428,0.175488,-0.544662,0.272532,-0.359109,-0.632615
-0.36616,0.204772,0.174825,-0.550273,0.276093,-0.361234,-0.633303
-0.367053,0.203642,0.174453,-0.552658,0.277506,-0.362281,-0.633389
-0.369512,0.200709,0.173672,-0.558237,0.280766,-0.365245,-0.63373
-0.370571,0.199558,0.173445,-0.560365,0.282031,-0.366459,-0.634088
-0.373549,0.196662,0.173292,-0.564975,0.284728,-0.369964,-0.635757
-0.37535,0.194926,0.173285,-0.567679,0.286337,-0.372149,-0.637009
-0.377477,0.192645,0.173111,-0.571783,0.289099,-0.374748,-0.638629
-0.378637,0.190989,0.172744,-0.575586,0.291947,-0.376207,-0.639725
-0.380158,0.188302,0.171915,-0.582649,0.297558,-0.378173,-0.641497
-0.380621,0.187222,0.171545,-0.585701,0.299899,-0.379007,-0.64215
-0.382126,0.184408,0.170742,-0.593054,0.305234,-0.38183,-0.643588
-0.382737,0.18327,0.170411,-0.59604,0.307319,-0.383175,-0.644098
-0.384218,0.180379,0.169486,-0.603657,0.312581,-0.386715,-0.645205
-0.384623,0.179169,0.169124,-0.606971,0.314702,-0.388045,-0.645565
-0.385652,0.176122,0.167885,-0.615255,0.320404,-0.391219,-0.646202
-0.386198,0.174261,0.167054,-0.620351,0.323885,-0.393147,-0.646469
-0.387254,0.171687,0.166166,-0.626798,0.32806,-0.396085,-0.646954
-0.384623,0.179169,0.169124,-0.606971,0.314702,-0.388045,-0.645565
-0.391746,0.165979,0.165489,-0.636958,0.333879,-0.404059,-0.648524
-0.392973,0.164569,0.165382,-0.639402,0.33528,-0.40606,-0.64904
-0.395928,0.161292,0.165121,-0.645807,0.339333,-0.410167,-0.650734
-0.397107,0.160081,0.16502,-0.648424,0.341147,-0.411533,-0.651599
-0.399914,0.157109,0.164827,-0.65513,0.345778,-0.414782,-0.653777
-0.401099,0.155888,0.164802,-0.657683,0.347527,-0.416208,-0.654534
-0.404035,0.152771,0.16485,-0.66394,0.351749,-0.420138,-0.65612
-0.405896,0.150887,0.164948,-0.667514,0.354177,-0.422599,-0.656962
-0.40864,0.148355,0.165195,-0.671943,0.357156,-0.425852,-0.658011
-0.410955,0.14642,0.165461,-0.67496,0.359161,-0.428284,-0.658707
-0.415075,0.143158,0.166099,-0.679638,0.36214,-0.432317,-0.65973
-0.416894,0.141881,0.166433,-0.68126,0.36321,-0.43387,-0.660206
-0.42153,0.138908,0.167367,-0.685054,0.365827,-0.437352,-0.661703
-0.423557,0.137788,0.167867,-0.68633,0.36678,-0.438607,-0.662477
-0.428628,0.135077,0.169104,-0.689303,0.368992,-0.441623,-0.664369
-0.430855,0.133954,0.169663,-0.690173,0.369615,-0.442876,-0.665058
-0.437094,0.131032,0.171385,-0.691194,0.370253,-0.44634,-0.66679
-0.441029,0.129269,0.172479,-0.691449,0.370341,-0.448416,-0.667741
-0.446044,0.126993,0.173691,-0.692165,0.37069,-0.450776,-0.66857
-0.449431,0.125356,0.174266,-0.693321,0.371363,-0.452061,-0.668598
-0.454664,0.122739,0.174824,-0.695851,0.372845,-0.453635,-0.667944
-0.456723,0.121759,0.175024,-0.696853,0.373407,-0.454223,-0.667758
-0.46222,0.119486,0.175744,-0.698719,0.374337,-0.455831,-0.668241
-0.464548,0.11866,0.176106,-0.699262,0.374577,-0.456472,-0.668726
-0.470004,0.116727,0.176808,-0.70077,0.375155,-0.458108,-0.670109
-0.472184,0.115914,0.177054,-0.701256,0.375234,-0.45888,-0.670595
-0.477426,0.113842,0.177467,-0.70234,0.375058,-0.46106,-0.671607
-0.480566,0.112558,0.177676,-0.70281,0.374728,-0.462526,-0.67219
-0.484852,0.110738,0.178012,-0.703238,0.374171,-0.464671,-0.67299
-0.488004,0.109283,0.178301,-0.703516,0.373687,-0.466488,-0.673615
-0.493495,0.106705,0.178888,-0.70357,0.372599,-0.469814,-0.674689
-0.495479,0.105632,0.179044,-0.703811,0.372356,-0.471155,-0.675095
-0.499571,0.102799,0.179059,-0.705483,0.372698,-0.474259,-0.675964
-0.500888,0.101618,0.178921,-0.706534,0.37316,-0.475418,-0.676247
-0.503694,0.098518,0.178419,-0.709658,0.374765,-0.478431,-0.676959
-0.504702,0.097211,0.178215,-0.710985,0.375491,-0.479782,-0.6773
-0.506739,0.093705,0.177623,-0.714736,0.377695,-0.483527,-0.678256
-0.507749,0.091516,0.177238,-0.717167,0.379195,-0.485957,-0.678909
-0.509297,0.088531,0.176836,-0.720068,0.380936,-0.489404,-0.679885
-0.510694,0.086306,0.17667,-0.721912,0.38198,-0.492152,-0.680766
-0.513267,0.082547,0.176562,-0.724585,0.383433,-0.497015,-0.68244
-0.51441,0.080972,0.176582,-0.725439,0.383879,-0.499029,-0.683111
-0.517224,0.076749,0.176551,-0.72729,0.384823,-0.504143,-0.684583
-0.518361,0.074944,0.176532,-0.727892,0.385145,-0.506211,-0.685138
-0.521587,0.070333,0.176664,-0.728737,0.385417,-0.511727,-0.68642
-0.523145,0.068489,0.176867,-0.728718,0.385145,-0.51416,-0.686864
-0.528578,0.063732,0.17804,-0.726589,0.382755,-0.521332,-0.687811
-0.532343,0.060842,0.179007,-0.724624,0.38076,-0.525957,-0.688299
-0.537262,0.057067,0.180331,-0.722258,0.378474,-0.531735,-0.688918
-0.540693,0.054318,0.18127,-0.720951,0.377299,-0.535597,-0.689353
-0.546292,0.049834,0.182876,-0.719082,0.37579,-0.541564,-0.690003
-0.548492,0.04808,0.183534,-0.718421,0.375315,-0.543803,-0.690259
-0.554,0.043768,0.185232,-0.716899,0.37441,-0.54899,-0.690915
-0.556217,0.042073,0.185924,-0.716349,0.374197,-0.550877,-0.691166
-0.561656,0.037946,0.187701,-0.715054,0.373819,-0.555424,-0.691853
-0.563904,0.036332,0.188502,-0.714368,0.373572,-0.5573,-0.692213
-0.569585,0.032324,0.190802,-0.71228,0.372726,-0.562262,-0.693359
-0.573359,0.029944,0.192439,-0.710544,0.371981,-0.565278,-0.69419
-0.578032,0.027055,0.19436,-0.708669,0.371185,-0.568964,-0.695286
-0.581228,0.025151,0.19556,-0.707763,0.370754,-0.571307,-0.696065
-0.586381,0.022344,0.19732,-0.706529,0.370169,-0.574773,-0.697376
-0.588392,0.021273,0.198017,-0.706013,0.369913,-0.576135,-0.697942
-0.593446,0.018568,0.199943,-0.704271,0.36904,-0.579749,-0.699606
-0.595377,0.017516,0.2007,-0.703544,0.368674,-0.58121,-0.70035
-0.600289,0.014929,0.202762,-0.701386,0.367545,-0.584956,-0.702277
-0.602304,0.013887,0.20359,-0.700389,0.367013,-0.586529,-0.702939
-0.607431,0.011268,0.205818,-0.697623,0.36533,-0.590628,-0.704423
-0.610675,0.009666,0.20728,-0.695649,0.364103,-0.593191,-0.705211
-0.614864,0.007445,0.209176,-0.693007,0.362492,-0.596644,-0.706042
-0.617954,0.005618,0.210589,-0.690936,0.361267,-0.599297,-0.70638
-0.62303,0.002413,0.212949,-0.687325,0.359161,-0.603814,-0.706594
-0.624956,0.001196,0.213883,-0.685966,0.358361,-0.605567,-0.706752
-0.630101,-0.001517,0.216459,-0.682246,0.356166,-0.609791,-0.707787
-0.632118,-0.002471,0.217504,-0.680768,0.355291,-0.611451,-0.708402
-0.637111,-0.004697,0.220068,-0.677234,0.353266,-0.615264,-0.710029
-0.63883,-0.005514,0.220941,-0.676225,0.35274,-0.616515,-0.710605
-0.642584,-0.007328,0.222657,-0.674604,0.352097,-0.618829,-0.711735
-0.644504,-0.008311,0.22346,-0.674134,0.352081,-0.619853,-0.712318
-0.647132,-0.009715,0.224561,-0.67354,0.352178,-0.621163,-0.713073
-0.648844,-0.010853,0.225253,-0.673449,0.35256,-0.622108,-0.713616
-0.65135,-0.012831,0.226217,-0.673845,0.353623,-0.623491,-0.714434
-0.652381,-0.013626,0.226591,-0.674009,0.354046,-0.624037,-0.714736
-0.655192,-0.015569,0.22753,-0.674236,0.354826,-0.625477,-0.715383
-0.656523,-0.016364,0.22796,-0.674158,0.354985,-0.626079,-0.71559
-0.659608,-0.018283,0.228917,-0.674232,0.355539,-0.627552,-0.716135
-0.660771,-0.019023,0.229298,-0.67431,0.355841,-0.628132,-0.716423
-0.663084,-0.020756,0.230106,-0.675055,0.35703,-0.62944,-0.717324
-0.664439,-0.021778,0.230625,-0.675526,0.357794,-0.630212,-0.717958
-0.666345,-0.023137,0.231371,-0.676066,0.358771,-0.631325,-0.718929
-0.668077,-0.024158,0.232107,-0.676165,0.359306,-0.632294,-0.719844
-0.671209,-0.02586,0.233493,-0.676091,0.360062,-0.634039,-0.721594
-0.672343,-0.026575,0.233967,-0.676219,0.360468,-0.634705,-0.722229
-0.674157,-0.028548,0.234428,-0.677796,0.362279,-0.636034,-0.723168
-0.67466,-0.02943,0.234411,-0.678756,0.363221,-0.636437,-0.723293
-0.675705,-0.031659,0.234304,-0.681312,0.365663,-0.637559,-0.723724
-0.67641,-0.032528,0.234488,-0.681917,0.366396,-0.638214,-0.724196
-0.678957,-0.034641,0.235618,-0.682357,0.367564,-0.640447,-0.726396
-0.680873,-0.035914,0.236595,-0.682085,0.36795,-0.642026,-0.72806
-0.68356,-0.03763,0.23803,-0.681365,0.368243,-0.644224,-0.730155
